kshama                      ,	क्षमा               ,	क्	मम               
jinkta                      ,	जिंकता              ,	जिंक्ता             
kaushik                     ,	कौशिक               ,	क	शिक               
jaadoogar                   ,	जादूगर              ,	जाूगगा              
chaalavanyaachaa            ,	चालवण्याचा          ,	चळलवण्याचा          
samaajkaaryaat              ,	समाजकार्यात         ,	समाजकार््यात        
thandine                    ,	थंडीने              ,		ां्ीने             
maalmtaadharkaanmdhey       ,	मालमत्ताधारकांमध्ये ,	मालकककककााांममेय    
tukdoji                     ,	तुकडोजी             ,	तुक्ोोजी            
shivsainikasathi            ,	शिवसैनिकासाठी       ,	शिवसानिकासााी       
subojitne                   ,	सुबोजितने           ,	सुबोजितने           
poshanasathi                ,	पोषणासाठी           ,	पोशणासाीी           
hotee                       ,	होती़               ,	होती                
ushmaa                      ,	उश्मा               ,		शमाा               
tondawar                    ,	तोंडावर             ,	तों	ावर             
mele                        ,	मेले                ,	मेले                
annapolis                   ,	अन्नापोलीस          ,		न्नपोलिि           
bombay                      ,	बॉम्बे              ,	बोम्ब               
aavadtya                    ,	आवडत्या             ,		वत््या             
adhyaksheey                 ,	अध्यक्षीय           ,			्यक््ीय           
shetkaryaanchyaabaabat      ,	शेतकऱ्यांच्याबाबत  ,	शेतकार्यााच्यााबाबत 
barai                       ,	बराई                ,	बराा                
sangneamulay                ,	सांगण्यामुळे        ,	संगगनेममुय          
sankate                     ,	संकटे               ,	संकाे               
mets                        ,	मेट्स               ,	मे््स               
mulam                       ,	मुलं                ,	मुलम                
tinada                      ,	तीनदा               ,	तिनााा              
antarvastrapaasun           ,	अंतर्वस्त्रापासून   ,		ंतर्वस्त्रापासून   
durgech                     ,	दुर्गेचं            ,		ुर्गच              
mulachaa                    ,	मुळचा               ,	मुलाचा              
harananche                  ,	हरणांचे             ,	हरणांचे             
kashtache                   ,	कष्टाचे             ,	का््ाचचे            
talhta                      ,	टाळता               ,	ता्ता               
eeseen                      ,	एसेन                ,		ीीन                
dharmshikshanaache          ,	धर्मशिक्षणाचे       ,		र्मशिक््ाााचे      
shheffield                  ,	शेफील्ड             ,	शेशिििल्            
loid                        ,	लॉइड                ,	लो	                 
rugnanvar                   ,	रुग्णांवर           ,	रुग्णांवर           
anuvadasathee               ,	अनुवादासाठी         ,		नुवााासाीी         
babhadgav                   ,	बाभळगाव             ,	बाागगाव             
karanehee                   ,	करणेही              ,	करणेही              
sampalyaane                 ,	संपल्याने           ,	संपल्याााे          
ekalaa                      ,	एकला                ,		कलाा               
chakreewadalacha            ,	चक्रीवादळाचा        ,	चक्रीवााााा         
vibhagiya                   ,	विभागीय             ,	वि	ागिया            
doghaannihi                 ,	दोघांनीही           ,		ो	ांनीही           
shikshanvishayak            ,	शिक्षणविषयक         ,	शिक्	णवविययक        
kshamteche                  ,	क्षमतेचे            ,	क्	मेतचे            
sura                        ,	सुरा                ,	सुरा                
bital                       ,	बीटल                ,	बितल                
yadeetoon                   ,	यादीतून             ,	याीतून              
adhyapan                    ,	अध्यापन             ,			्यपणण             
audhyogikeekaran            ,	औद्योगिकरण          ,			्योगिकेकरण        
columbus                    ,	कोलंबस              ,	कोल्बबन             
adhikchya                   ,	अधिकच्या            ,			िकच्या            
purushottam                 ,	पुरुषोत्तम          ,	पुरोोोत्तम          
jaadhavaannee               ,	जाधवांनी            ,	जााावांीी           
shikshanapaddhatee          ,	शिक्षणपद्धती        ,	शिक्	णापप््ती       
parikshaakendraavr          ,	परीक्षाकेंद्रावर    ,	परिक्ककांं्रववव     
kurtakoti                   ,	कुर्तकोटी           ,	कुर्तकोीी           
shrivas                     ,	श्रीवस              ,	श्रीवास             
gandhinagar                 ,	गांधीनगर            ,	गंंीीनगर            
kantratdaranmdhay           ,	कंत्राटदारांमध्ये   ,	कंत्राातारंंम्य     
hiropanati                  ,	हिरोपनती            ,	हिरोपणाती           
asave                       ,	असावे               ,		सावे               
sahahee                     ,	सहाही               ,	सहहाी               
bhasin                      ,	भसीन                ,		ासिन               
ghenaaryaa                  ,	घेणार्या            ,		ेणार््या           
halavalee                   ,	हलवली               ,	हालवलल              
aaichi                      ,	आईची                ,		चचीी               
vahatukichi                 ,	वाहतुकीची           ,	वाहतुकीची           
asavi                       ,	असावी               ,		सावी               
maharashtraabaddalachaa     ,	महाराष्ट्राबद्दलचा  ,	महारा््ा्राबब््ललचा 
gudepu                      ,	गुडेपु              ,	गु	ेपू              
vadhvila                    ,	वाढविला             ,	वा्विला             
pakeystani                  ,	पाकिस्तानी          ,	पाेेस््ानी          
englandne                   ,	इंग्लंडने           ,		ंग्लंनने           
surendranagar               ,	सुरेंद्रनगर         ,	सुरें््रननगर        
missoula                    ,	मिसौला              ,	मिसूसला             
balageet                    ,	बालगीत              ,	बागगीत              
mahavitaranane              ,	महावितरणने          ,	महाविताणाने         
sengar                      ,	सेंगर               ,	सेंगर               
greecemadhalee              ,	ग्रिसमधली           ,	ग्रीसीमलली          
lane                        ,	लेन                 ,	लाने                
borivalee                   ,	बोरिवली             ,	बोरिवले             
