haksm ,"ा्कमष
 ","ा्कमष
 "
tankij ,"ाकंजति
 ","ाकंजति
 "
huakis ,"कशिौ
 ","कशि
 "
adorjg ,"ूारदजग
 ","ूारदज
 "
hlanvyc ,"लाव्यचण
 ","ाव्यचण
 "
taykrsjm ,"ा्यकसरजमत
 ","ा्यकसरमत
 "
htanide ,"थनीडंे
 ","ींेदध
 "
hltanykdrem ,"ला्यकंरेमतध
 ","लायकंरेमध
 "
utkidoj ,"कीुडोजत
 ","कीुोजत
 "
htanvkis ,"ानवकीसशठिै
 ","ावकीसशि
 "
butnioesj ,"नुसोेजतिब
 ","ुसोेजतिब
 "
htapnios ,"ापीसोठषण
 ","ापीसोषण
 "
htoe ,"हीोत़
 ","हीोत
 "
huasm ,"ा्शमउ
 ","ा्मषउ
 "
tandorw ,"ावडोंरत
 ","ावोंरदत
 "
lem ,"लेम
 ","लेम
 "
lapnios ,"लापन्ीसोअ
 ","लप्सोअ
 "
bayom ,"्ेमबॉ
 ","ा्ोमब
 "
tavyd ,"ाव्यडतआ
 ","ाव्यतआ
 "
haykdes ,"्यकीअषध
 ","्यकीअषध
 "
bhtanykcres ,"ा्यकंचरेशतब़
 ","ा्यकचरेशतब
 "
bair ,"ारबई
 ","ारब
 "
ulanyesmg ,"ा्युसंेमळगण
 ","ा्युसंेम
 "
tankes ,"कसंेट
 ","कसंेत
 "
tesm ,"्सेटम
 ","्सेम
 "
ulam ,"लुंम
 ","लाुम
 "
tanid ,"ानीदत
 ","ादति
 "
utapnvrs ,"ूापनव्संरअत
 ","ूापव्संरअत
 "
hucdreg ,"्ुंचरेदग
 ","्चरेद
 "
hulacm ,"ाुचमळ
 ","लाुचम
 "
hancre ,"ाहंचरेण
 ","ाहंचरेण
 "
htakces ,"ा्कचेटष
 ","ा्कचेष
 "
hlta ,"ाटळत
 ","ला्त
 "
nes ,"नएसे
 ","ीसईघ
 "
hankicdresm ,"ा्कचरेशमिषणध
 ","ा्कचरेशमिषणध
 "
hlidesf ,"ल्ीडेशफ
 ","ल्ेशि
 "
lido ,"लडइॉ
 ","लोद
 "
uanvrg ,"ाव्ुंरगण
 ","ाव्ुंरण
 "
hutanvdes ,"ानवीुसदठअ
 ","ावीुसदअ
 "
bhavdg ,"भावळबग
 ","भावदब
 "
hankre ,"हकीरेण
 ","ाहकीरेण
 "
lapnyesm ,"लापन्यसंे
 ","लाप्यसंे
 "
lake ,"लाकए
 ","ाक
 "
hlakcdrew ,"ाव्कीचरदळ
 ","लाव्कीचरद
 "
bhavyig ,"भावयीिग
 ","भावयजि
 "
hanidog ,"ानहीोंदघ
 ","ाहीोंदघ
 "
hanvykis ,"व्यकशिषण
 ","व्यकशिषण
 "
htakcesm ,"्कचेमतष
 ","्कचेमतष
 "
