haksm ,"ा्कमष
 ","ा्कमष
 "
tankij ,"ाकंजति
 ","्कंजति
 "
huakis ,"कशिौ
 ","कशिष
 "
adorjg ,"ूारदजग
 ","ूारदजग
 "
hlanvyc ,"लाव्यचण
 ","लाव्यचण
 "
taykrsjm ,"ा्यकसरजमत
 ","ा्यकसरजमत
 "
htanide ,"थनीडंे
 ","थानीडंे
 "
hltanykdrem ,"ला्यकंरेमतध
 ","लाकंेमतध
 "
utkidoj ,"कीुडोजत
 ","कीुोदजत
 "
htanvkis ,"ानवकीसशठिै
 ","ानवकीसशठिै
 "
butnioesj ,"नुसोेजतिब
 ","नीुसोेजतब
 "
htapnios ,"ापीसोठषण
 ","ापीसोठषण
 "
htoe ,"हीोत़
 ","हीोट
 "
huasm ,"ा्शमउ
 ","ा्मषउ
 "
tandorw ,"ावडोंरत
 ","ावडोंरत
 "
lem ,"लेम
 ","लेम
 "
lapnios ,"लापन्ीसोअ
 ","लपन्ीसोअ
 "
bayom ,"्ेमबॉ
 ","ायोंब
 "
tavyd ,"ाव्यडतआ
 ","ाव्यडतआ
 "
haykdes ,"्यकीअषध
 ","्यकीअषध
 "
bhtanykcres ,"ा्यकंचरेशतब़
 ","ा्यकंरेशतब
 "
bair ,"ारबई
 ","ाब
 "
ulanyesmg ,"ा्युसंेमळगण
 ","लानीुसंमग
 "
tankes ,"कसंेट
 ","कसंेट
 "
tesm ,"्सेटम
 ","्सेटम
 "
ulam ,"लुंम
 ","लुंम
 "
tanid ,"ानीदत
 ","ानदति
 "
utapnvrs ,"ूापनव्संरअत
 ","ूापनव्संरअत
 "
hucdreg ,"्ुंचरेदग
 ","्ुचरेदग
 "
hulacm ,"ाुचमळ
 ","लाुचम
 "
hancre ,"ाहंचरेण
 ","ाहंचरे
 "
htakces ,"ा्कचेटष
 ","ा्कचेटष
 "
hlta ,"ाटळत
 ","ला्टत
 "
nes ,"नएसे
 ","नीएस
 "
hankicdresm ,"ा्कचरेशमिषणध
 ","ा्कचरेशमिषणध
 "
hlidesf ,"ल्ीडेशफ
 ","ल्डेशफ
 "
lido ,"लडइॉ
 ","लडोई
 "
uanvrg ,"ाव्ुंरगण
 ","ाव्ुंरगण
 "
hutanvdes ,"ानवीुसदठअ
 ","ानवीुसदठअ
 "
bhavdg ,"भावळबग
 ","भावबग
 "
hankre ,"हकीरेण
 ","हकीरण
 "
lapnyesm ,"लापन्यसंे
 ","लाप्यसंे
 "
lake ,"लाकए
 ","लाकए
 "
hlakcdrew ,"ाव्कीचरदळ
 ","ाव्कीडचर
 "
bhavyig ,"भावयीिग
 ","भावयिग
 "
hanidog ,"ानहीोंदघ
 ","ानहीोंदघ
 "
hanvykis ,"व्यकशिषण
 ","ाव्यकशिष
 "
htakcesm ,"्कचेमतष
 ","्कचेमष
 "
