kshama                      ,	क्षमा               ,	क्	मम               
jinkta                      ,	जिंकता              ,	जिंक्ा              
kaushik                     ,	कौशिक               ,	काशिक               
jaadoogar                   ,	जादूगर              ,	जाूुगर              
chaalavanyaachaa            ,	चालवण्याचा          ,	चालवव्याचाा         
samaajkaaryaat              ,	समाजकार्यात         ,	समजजकरर्ययात        
thandine                    ,	थंडीने              ,		ांीीने             
maalmtaadharkaanmdhey       ,	मालमत्ताधारकांमध्ये ,	मालमतधााररााांमधये  
tukdoji                     ,	तुकडोजी             ,	तुकदोजी             
shivsainikasathi            ,	शिवसैनिकासाठी       ,	शिवसिनिकााााी       
subojitne                   ,	सुबोजितने           ,	सुबोजितेन           
poshanasathi                ,	पोषणासाठी           ,	पोशनासााी           
hotee                       ,	होती़               ,	होटी                
ushmaa                      ,	उश्मा               ,		श्मा               
tondawar                    ,	तोंडावर             ,	तोंदावर             
mele                        ,	मेले                ,	मेले                
annapolis                   ,	अन्नापोलीस          ,	अन्नपोललि           
bombay                      ,	बॉम्बे              ,	बोमबबय              
aavadtya                    ,	आवडत्या             ,	आवत््या             
adhyaksheey                 ,	अध्यक्षीय           ,	अध्यक््ी            
shetkaryaanchyaabaabat      ,	शेतकऱ्यांच्याबाबत  ,	शेतकर्यांच्याााबबबत 
barai                       ,	बराई                ,	बारा                
sangneamulay                ,	सांगण्यामुळे        ,	संग्नेममुु          
sankate                     ,	संकटे               ,	संकटे               
mets                        ,	मेट्स               ,	मेट्स               
mulam                       ,	मुलं                ,	मुलम                
tinada                      ,	तीनदा               ,	तिनााा              
antarvastrapaasun           ,	अंतर्वस्त्रापासून   ,	अंतरव््त्सपाााूून   
durgech                     ,	दुर्गेचं            ,	दुर्गेच             
mulachaa                    ,	मुळचा               ,	मुलाचा              
harananche                  ,	हरणांचे             ,	हराांचे             
kashtache                   ,	कष्टाचे             ,	का्टाचे             
talhta                      ,	टाळता               ,	ता्ता               
eeseen                      ,	एसेन                ,	ीसीन                
dharmshikshanaache          ,	धर्मशिक्षणाचे       ,	धर्मशिक्	ााचे       
shheffield                  ,	शेफील्ड             ,	शिशेलिल्            
loid                        ,	लॉइड                ,	लो	                 
rugnanvar                   ,	रुग्णांवर           ,	रुग्ाांवर           
anuvadasathee               ,	अनुवादासाठी         ,	अनुवादासाीी         
babhadgav                   ,	बाभळगाव             ,	बाागगाव             
karanehee                   ,	करणेही              ,	कररनेही             
sampalyaane                 ,	संपल्याने           ,	संपा््याने          
ekalaa                      ,	एकला                ,	ककाला               
chakreewadalacha            ,	चक्रीवादळाचा        ,	चककीीवादाचा         
vibhagiya                   ,	विभागीय             ,	वि	ागिया            
doghaannihi                 ,	दोघांनीही           ,	दो	ांंनीह           
shikshanvishayak            ,	शिक्षणविषयक         ,	शिक्	ांवििय         
kshamteche                  ,	क्षमतेचे            ,	क्	मतेेे            
sura                        ,	सुरा                ,	सुरा                
bital                       ,	बीटल                ,	बिटल                
yadeetoon                   ,	यादीतून             ,	याीीून              
adhyapan                    ,	अध्यापन             ,	अध्याप              
audhyogikeekaran            ,	औद्योगिकरण          ,	आध्योगिकेकरर        
columbus                    ,	कोलंबस              ,	कललुमुुस            
adhikchya                   ,	अधिकच्या            ,	अधिकच्या            
purushottam                 ,	पुरुषोत्तम          ,	पुरुोोत्तम          
jaadhavaannee               ,	जाधवांनी            ,	जाधवाांनी           
shikshanapaddhatee          ,	शिक्षणपद्धती        ,	शिक्	ाापदधती        
parikshaakendraavr          ,	परीक्षाकेंद्रावर    ,	परिक्रकेेंदररवरर    
kurtakoti                   ,	कुर्तकोटी           ,	कुर्तोोटी           
shrivas                     ,	श्रीवस              ,	श्रीवास             
gandhinagar                 ,	गांधीनगर            ,	गंधीनगरर            
kantratdaranmdhay           ,	कंत्राटदारांमध्ये   ,	कंत्रदददारांमधय     
hiropanati                  ,	हिरोपनती            ,	हिरोपाती            
asave                       ,	असावे               ,	असववे               
sahahee                     ,	सहाही               ,	सहहीी               
bhasin                      ,	भसीन                ,		ासिन               
ghenaaryaa                  ,	घेणार्या            ,		ेनारा्याा          
halavalee                   ,	हलवली               ,	हालवल               
aaichi                      ,	आईची                ,	आाची                
vahatukichi                 ,	वाहतुकीची           ,	वाहतुकीची           
asavi                       ,	असावी               ,	असवी                
maharashtraabaddalachaa     ,	महाराष्ट्राबद्दलचा  ,	महाराा्ट्रबबबददददलचा
gudepu                      ,	गुडेपु              ,	गुदेपु              
vadhvila                    ,	वाढविला             ,	वाधविला             
pakeystani                  ,	पाकिस्तानी          ,	पककेस्टानी          
englandne                   ,	इंग्लंडने           ,	अंग्लादनने          
surendranagar               ,	सुरेंद्रनगर         ,	सुरेंद्रनगगर        
missoula                    ,	मिसौला              ,	मिससलल              
balageet                    ,	बालगीत              ,	बालगीत              
mahavitaranane              ,	महावितरणने          ,	महावितररााने        
sengar                      ,	सेंगर               ,	सेंगर               
greecemadhalee              ,	ग्रिसमधली           ,	ग्रीसमधली           
lane                        ,	लेन                 ,	लाने                
borivalee                   ,	बोरिवली             ,	बोरिवली             
zero                        ,	झीरो                ,	येरोो               
rohan                       ,	रोहन                ,	रोहान               
yethe                       ,	येथे                ,	ये	े                
nabhi                       ,	नभी                 ,	नाीी                
zunja                       ,	झुंज                ,	ुुंजा               
beebi                       ,	बेबी                ,	बीबी                
linc                        ,	लिंक                ,	लिंक्               
tide                        ,	टाईड                ,	टिये                
vaachane                    ,	वाचणे               ,	वाचने               
vightnaapayshaa             ,	विघटनापेक्षा        ,	वि	्टापपायाा        
paleeche                    ,	पाळीचे              ,	पालीचे              
awayawanchi                 ,	अवयवांची            ,	अवययांचची           
vasundhara                  ,	वसुंधरा             ,	वसुंधार             
beena                       ,	बिना                ,	बीना                
baubbi                      ,	बॉबी                ,	बाबबबी              
mahimeantargat              ,	मोहिमेअंतर्गत       ,	महिमेमंंगर्ग        
kshtrap                     ,	क्षत्रप             ,	क्््ट्रप            
beard                       ,	बिअर्ड              ,	बार्र्              
karepataar                  ,	करेपटार             ,	करेपटरर             
turoongat                   ,	तुरूंगात            ,	तुरुंगतत            
mukkam                      ,	मुक्काम             ,	मुक्कम              
maval                       ,	मवाळ                ,	मावल                
jivani                      ,	जीवनी               ,	जिवाीी              
pathavi                     ,	पाठवी               ,	पाावीी              
shivapratishthaanachee      ,	शिवप्रतिष्ठानची     ,	शिवप्रतिि््ाााची    
vij                         ,	वीज                 ,	विज                 
paryavekshak                ,	पर्यवेक्षक          ,	पर्यावेक्क          
narayan                     ,	नारायण              ,	नाराय               
achook                      ,	अचुक                ,	अचूक                
satkarm                     ,	सत्कर्म             ,	सत्करमम             
los                         ,	लॉस                 ,	लोस                 
yoonuus                     ,	युनूस               ,	यूननसस              
jaaniva                     ,	जाणीवा              ,	जानीवा              
jijabainna                  ,	जिजाबाईंना          ,	जिजाबाानना          
nakshalwaad                 ,	नक्षलवाद            ,	नक्ललववाद           
svachchataagruhe            ,	स्वच्छतागृहे        ,	स्वच््ततगगहह        
rudhinmadhe                 ,	रूढींमध्ये          ,	रुधींमधे            
kapurchya                   ,	कपूरच्या            ,	कापूरच्या           
dalaateel                   ,	दलातील              ,	दलातील              
